ноль	cero
'воздух	aire
песок'	arena
пляж	playa
волна'	ola
огонь'	fuego
лёд	hielo
'остров / острова'	isla / islas
уклон' / склон / наклон'	pendiente / ladera / inclinación
природа	naturaleza
стекло' / стёкла	vidrio / vidrios
металл'	metal
'пластик / пластмасса	plástico
'камень	piedra
алмаз'	diamante
'глина	arcilla
пыль	polvo
'золото	oro
медь	cobre
серебро'	plata
материал'	material
'лето	verano
весна'	primavera
зима'	invierno
'осень	otoño
время года	estación del año
'мера	medida, límite
размер'	medida, talla, dimensión
метр	metro
сантиметр'	centímetro
килограмм' / кило'	kilogramo / kilo
половина	mitad
круг	círculo
квадрат'	cuadrado
температура	temperatura
число'	número, fecha
вес	peso
край	borde
угол	esquina
'карта	mapa (también, carta = naipe)
'точка	punto
согласный	consonante
гласный	vocal
свет	luz
звук	sonido
шум	ruido
кусок' / кусочек	trozo, pedazo
боль	dolor
поврежде́ние / ране́ние	herida
отверстие / дыра́	agujero
'образ	imagen, forma / modo
картина	imagen, cuadro, dibujo
рису́нок	dibujo, patrón, diseño
существительное	sustantivo
глагол'	verbo
прилагательное	adjetivo
направление	dirección
год	año
месяц	mes
неделя	semana
день	día
час	hora
минута	minuto
секунда	segundo
'утро	mañana (parte del día)
'вечер	tarde (parte del día)
ночь	noche
'время	tiempo
'верхний	(parte, etc.) de arriba
'нижний	(parte, etc.) de abajo
дно	fondo
сторона'	lado
'север	norte
юг	sur
восток'	este
'запад	oeste
'прямо	recto
налево	a la izquierda
направо	a la derecha
передний	(parte, ...) de delante
оборот'	reverso
зад / тыл	parte de atrás
колесо' / колёса	rueda / ruedas
'длинный	largo
короткий	corto
высокий	alto
низкий	bajo
широкий	ancho
'узкий	estrecho
большой'	grande
'маленький	pequeño
'медленный	lento
'быстрый	rápido
горячий	caliente
'жаркий	caliente (hace calor)
холодный	frío
тёплый, тепло'	cálido
похладный	fresco
'новый	nuevo
'старый	viejo
молодой'	joven
хороший	bueno
плохой'	malo
'мокрый	mojado
сухой	seco
больной	enfermo
здоровый	sano
громкий	alto (sonido)
тихий	tranquilo, callado
счастливый	feliz
грустный	triste
красивый	hermoso
ужа́сный	horrible, espantoso
глухой	sordo
слепой	ciego
милый	amable
злой	malvado / enojado
богатый	rico
бедный	pobre
толстый	gordo, grueso
тонкий	delgado, fino
дорогой	caro, querido
дешёвый (дёшево)	barato
ровный	llano, liso
кривой	curvo, torcido
мужской	masculino
женский	femenino
тугой	tenso, ajustado
мягкий	suave, blando
твёрдый	duro
глубокий	profundo
мелкий	somero, poco profundo
чистый	limpio
грязный	sucio
сильный	fuerte
слабый	débil
мёртвый	muerto
живой	vivo
тяжёлый (тяжело')	pesado, duro (de soportar, ...)
лёгкий (легко')	ligero, liviano, fácil
тёмный (темно')	oscuro
светлый	claro, luminoso
известный	famoso, conocido
ядерный	nuclear
долгий	largo (tiempo)
краткий	corto (tiempo)
(по)работать	trabajar
играть / сыграть	jugar
(по)гулять	pasear
'бегать	correr (multidireccional)
(по)бежать', бегу', бежишь', бегут'	correr (unidireccional)
(по)вести', веду', ведёшь, ведут'<br>(вёл, вела', вело', вели')	conducir (un coche), guiar, llevar (unidireccional)<br>вести себя = comportarse
водить', вожу', 'водишь, 'водят	conducir (un coche), guiar, llevar (multidireccional)
(по)'ехать, 'еду, 'едешь, 'едут<br />(imp. поезжай', поезжайте)	ir (en vehículo, unidireccional)
'ездить, 'езжу, 'ездишь, 'ездят	(ir, en vehículo, multidireccional)
идти', иду', идёшь, идут' / пойти'<br>(шёл, шла', шло', шли')	ir (a pie, unidireccional)
ходить', хожу', 'ходишь, 'ходят	ir (a pie, multidireccional)
летать'	volar (multidireccional)
(по)лететь', лечу', летишь', летят'	volar (unidireccional)
(по)плыть, плыву', плывёшь, плывут'<br>(плыл, плыла', плыло, плыли)	nadar, navegar (unidireccional)
'плавать	nadar, navegar (multidireccional)
